id,nombre,recorrido,atractivos,direccion,barrio,comuna,geometry,peso
40,19. Barrio Chino,Recorrido Rojo,,Del Libertador Av. 6040,Belgrano,Comuna 13,POINT (-58.44828659650977 -34.55620697311209),9
"41,19. Palermo - Distrito Arcos,Recorrido Amarillo,Centro Cultural de la Ciencia - Distrito Arcos - Ecoparque Interactivo - La Rural - Paseo del Rosedal,""Paraguay 4975,  entre Av Juan B. Justo y Godoy Cruz"",Palermo,Comuna 14,POINT (-58.42862250731772 -34.58117093204681),10"
"42,20. Bosques de Palermo - Rosedal,Recorrido Amarillo,Planetario Galileo Galilei - Campo Argentino de Polo - Hipódromo Argentino de Palermo - Mezquita Centro Cultural Islámico Rey Fahd - Paseo del Rosedal,""Del Libertador Av. 3850, entre Av Int. Bullrich y Sinclair"",Palermo,Comuna 14,POINT (-58.42283331340201 -34.571597349017274),5"
"43,20. Campo Argentino de Polo - Hipódromo,Recorrido Rojo,Hipódromo Argentino de Palermo - Campo Argentino de Polo - Planetario Galileo Galilei - Paseo del Rosedal - Museo Sívori,""Del Libertador Av. 4060, entre Av Dorrego y Ortega y Gasset"",Palermo,Comuna 14,POINT (-58.426279914567594 -34.569939654793885),8"
"44,21. Monumento de los Españoles,Recorrido Rojo,Jardín Japonés - Jardín Botánico Carlos Thays - Sociedad Rural Argentina - Paseo del Rosedal - Museo Evita,""Del Libertador Av. 3250, entre Av Sarmiento y República de la India"",Palermo,Comuna 14,POINT (-58.41418317083649 -34.575622537632306),1"
"45,21. Monumento de los Españoles-RA,Recorrido Amarillo,Paseo del Rosedal - Jardín Japonés - Jardín Botánico Carlos Thays - Sociedad Rural Argentina - Museo Evita,""Del Libertador Av. 3250, entre Av Sarmiento y República de la India"",Palermo,Comuna 14,POINT (-58.41410746384705 -34.5756523199901),4"
"46,22. MNBA,Recorrido Amarillo,Floralis Genérica - Centro Cultural Recoleta - Cementerio de la Recoleta - Biblioteca Nacional - Basílica Nuestra Señora del Pilar,""Del Libertador Av. 1473, entre Dr. Luis Agote y Av Pueyrredón"",Recoleta,Comuna 2,POINT (-58.39319827260343 -34.58442446218445),5"
"47,22. Museo Nacional de Arte Decorativo,Recorrido Rojo,,""Pereyra Lucena y Del Libertador Av., entre Pereyra Lucena y Sánchez de Bustamante"",Palermo,Comuna 14,POINT (-58.40132921239642 -34.58231495487081),3"
"48,23. Recoleta - MNBA,Recorrido Rojo,Floralis Genérica - Centro Cultural Recoleta - Cementerio de la Recoleta - Biblioteca Nacional - Basílica Nuestra Señora del Pilar,""Del Libertador Av. 1473, entre Dr. Luis Agote y Av Pueyrredón"",Recoleta,Comuna 2,POINT (-58.39296751555267 -34.58449588013795),4"
"49,24. 9 de Julio - Teatro Colón,Recorrido Rojo,Teatro Colón - Teatro Cervantes - Obelisco - Galerías Pacífico - Plaza San Martín,""Cerrito 890, entre Av Córdoba y Paraguay"",Retiro,Comuna 1,POINT (-58.38268526823442 -34.59818796887449),8"
